query,users,%share,,,,,,,,,,,,,,,,,,,,,240670,Volume based classification,Intent based classification
marvels,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Waistcoat,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Manchester,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Cotton jogger,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Pink shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Green colour,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Born again,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Rick and Morty,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Black polo tshirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Gray,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
tshirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
White kurta for men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Sneakers shoes,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Photographer,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Half t shirt for men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Customizable tshirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Animated,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Bengali,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Tights for women,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Siliper,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Cargoes for men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
food,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Dc,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Snakers,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Oversized track pants,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Hoodies for boys,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Plus size t shirts for men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Waterproof shoes,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Oversized shirts men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Customize vest,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Cheese,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Bacchon ke kapde,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Doremon t shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Nikkar,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Chilling with friends,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Work out,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
dandadan,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Swimming,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Gear 5,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Nasa shoes,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.2 Product + Character
Buy 3 at 999,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
T shirt for girl,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Black trousers for men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Pendant,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Earing,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Polo T-shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Sliders for women,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
jersey,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Moto g45,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Solid t shirts set,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Flared pants,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Anime hoddie,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.2 Product + Character
Bewakoof heavy duty 1.0,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Engineering,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Sleepar,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Masks,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Gods,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Down shoulder tshirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Oversize T-shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Kidswear,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
japanese,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Ladies kurta,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Women underwear,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Mens short,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Regular fit jogger,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Mickey mouse tshirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.2 Product + Character
Shandow,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Trending shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Grey baggy jeans,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
T sart,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Denim jackets for men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Beige oversized tshirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Red check shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
bike,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Short kurtha,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Teacher,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Flared,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Cats,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
olive green,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Raincoats,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Cotton tshirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Lenin shirts for men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Marvel t shirt for women,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.3 Character + Gender + Product
Oversize hoodie,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Jujutsu Kaisen,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Matching,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
2 for 999,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Codset,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Panda shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.2 Product + Character
Brown jogger,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Half kurta,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Polo,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Asthetic,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Sports t shirt for men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.2 Product + Occasion
Su,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Plane t shirts,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
sports shorts,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.2 Product + Occasion
Oppo k13 mobile cover,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Shirys,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
mickey,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Gy,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Addidas shoes,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Half shirts for men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Short kurtis for women,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Full hand t shirts,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
half sleeve shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
456 t shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Zip t shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Denim dress for women,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Oversized acid wash,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Gurkha pents,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
F1 t shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.2 Product + Character
Plus size shirt men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Women bags,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Dragonball z,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
iPhone 14,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Amiri,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
brown t shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Grey track pants,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Dc oversized,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Leather bags,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Avengers t shirts,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.2 Product + Character
Track suit men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Black oversized shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Shirts for woman,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Bootcut jeans for man,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Tshirt under 300,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
shorts women,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Sweter,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Madara t shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Jumper,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Mens shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
baggy men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Bandi,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Cargo baggy,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Faded t shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
oversized t shirts for women,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Denim jackets for women,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Mugs,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Green pant,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Ferrari jacket,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Baggy jens,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
tribe,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Straight fit track pants,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
The souled store,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Ankle fit jeans,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Men's jacket,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
T shirt brown,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
HRX,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Acid wash tshirts,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Pant for boys,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Play,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Akatsuki sneakers,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Sport shoe,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Dubai,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
mens t shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Women frock,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Naruto women,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.3 Character + Gender
Sunglasses men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Sleep,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Night pants men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Penty,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Buy 2 get 2 free,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Baggy Jeans,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Jungkook,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Shirts combo,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
red tshirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Collor tshirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Wine colour shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Baggy jeans for women,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Boys oversized,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Cotton joggers,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Disney tshirts,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Number tshirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Gym fit,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.1 Bare Occasion
Regular fit cargos,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Men baggy pants,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
S25 ultra,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Flipflops for women,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Baby dress,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
6xl t shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
V neck t shirt for men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Asur,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Attack on Titan t shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.2 Product + Character
Straight fit lowers for men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
got,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Gym oversized t shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.2 Product + Occasion
Japanese pant,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Bottles,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Satin,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Rick and morty t shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.2 Product + Character
Black full sleeve t shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
batman t shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.2 Product + Character
graphic tees,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
gym t shirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.2 Product + Occasion
Gym tshirt for women,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.2 Product + Occasion
Yellow tshirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
bakchod,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Men full sleeves tshirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Kurti pant set,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Nirvana,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
White baggy pants,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Argentina,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Gym shirts,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.2 Product + Occasion
Captain america tshirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.2 Product + Character
Brother sister,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Tracksuits,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Haryana,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Gym lower for women,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.2 Product + Occasion
Gym tights,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.1 Bare Occasion
Dangri,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Jersy for men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Isro tshirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Indian army,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Black t shirts for men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Pink shirt for men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Hera pheri,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Jinse,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Puma slippers,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
slim fit,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Women shirts,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
I need space tshirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.2 Product + Character
Formal pant for man,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.2 Product + Occasion
Know your place fool,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Lehanga,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Green shirts,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Charger,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Iqoo 13,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Sweatpants men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Korean,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Venom vest,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.2 Product + Character
Travel joggers,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.2 Product + Occasion
Phone cover vivo,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
barca,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Sukuna tshirt,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Emerald green,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Mens baggy jeans,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Straight fit joggers for men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
windcheater,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Formal shirt for women,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.2 Product + Occasion
Girls lower,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
full sleeve tshirt men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Super loose joggers,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Begi jeans,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Realme gt 6t cover,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Cargo pants men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Straight joggers,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Shirt white,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
ronaldo,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Wine colour,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Gym track,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.1 Bare Occasion
Gym t shirt men,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.2 Product + Occasion
Women cargos,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Leader jacket,4,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
